,时间,GPS车速,X轴加速度,Y轴加速度,Z轴加速度,经度,纬度,发动机转速,扭矩百分比,瞬时油耗,油门踏板开度,空燃比,发动机负荷百分比,进气流量
253505,2017-12-21 12:07:20,0.0,0.0,-0.306,-0.936,119.325965,26.101951,1150.0,32.0,0.59,0.105,0.147,38.0,6.1
253506,2017-12-21 12:07:21,4.9,-0.072,-0.288,-0.936,119.325923,26.102014,1362.0,30.0,0.59,0.095,0.1467,38.0,6.08
253507,2017-12-21 12:07:22,5.1,-0.234,-0.414,-0.918,119.325933,26.102036,1437.0,29.0,0.64,0.085,0.1464,35.0,6.61
253508,2017-12-21 12:07:23,5.4,-0.171,-0.378,-0.927,119.325919,26.102044499999998,1356.0,30.5,0.645,,,,
253509,2017-12-21 12:07:24,5.7,-0.108,-0.342,-0.936,119.325905,26.102053,1275.0,32.0,0.65,0.095,0.145,38.0,6.75
253510,2017-12-21 12:07:25,8.8,-0.108,-0.324,-0.9,119.325873,26.102058,1337.0,31.0,0.62,0.09,0.1458,37.0,6.44
253511,2017-12-21 12:07:26,10.9,-0.126,-0.432,-0.882,119.325836,26.102061,1075.0,17.0,0.27,0.0,0.1463,21.0,2.92
253512,2017-12-21 12:07:27,13.600000000000001,-0.198,-0.432,-0.873,119.3257925,26.102043000000002,1131.0,21.0,0.385,,,,
253513,2017-12-21 12:07:28,16.3,-0.27,-0.432,-0.864,119.325749,26.102025,1187.0,25.0,0.5,0.09,0.1451,29.0,5.17
253514,2017-12-21 12:07:29,20.5,-0.126,-0.36,-0.918,119.325728,26.101984,1400.0,31.0,0.67,0.1,0.1452,37.0,6.87
253515,2017-12-21 12:07:30,22.5,-0.072,-0.288,-0.918,119.325704,26.101935,1537.0,34.0,0.83,0.115,0.1454,41.0,8.59
253516,2017-12-21 12:07:31,25.0,0.0,-0.306,-0.9,119.32568,26.101881,1675.0,37.0,0.98,0.125,0.146,45.0,10.15
253517,2017-12-21 12:07:32,27.0,-0.054,-0.342,-0.9,119.325656,26.101833,1725.0,37.0,1.01,0.125,0.1476,44.0,10.38
253518,2017-12-21 12:07:33,28.8,0.0,-0.342,-0.99,119.325651,26.101766,1812.0,36.0,1.0,0.12,0.1472,43.0,10.3
253519,2017-12-21 12:07:34,30.3,0.0,-0.342,-0.99,119.325641,26.101701,1750.0,36.0,1.0,0.12,0.1467,42.0,10.21
253520,2017-12-21 12:07:35,32.2,0.0,-0.342,-0.918,119.325646,26.101626,1575.0,37.0,0.88,0.115,0.1469,46.0,9.09
253521,2017-12-21 12:07:36,33.6,0.0,-0.342,-0.936,119.325648,26.101546,1575.0,37.0,0.92,0.115,0.1467,44.0,9.38
253522,2017-12-21 12:07:37,34.2,0.0,-0.378,-0.918,119.325653,26.101466,1587.0,36.0,0.9,0.12,0.1464,44.0,9.27
253523,2017-12-21 12:07:38,35.0,-0.072,-0.324,-0.9,119.32566,26.101383,1612.0,37.0,0.96,0.12,0.1461,44.0,9.84
253524,2017-12-21 12:07:39,36.4,0.0,-0.36,-0.882,119.325666,26.101296,1637.0,36.0,0.93,0.12,0.146,44.0,9.64
253525,2017-12-21 12:07:40,37.4,0.0,-0.36,-0.882,119.32567,26.101211,1625.0,27.0,0.59,0.035,0.1462,39.0,6.1
253526,2017-12-21 12:07:41,38.0,0.0,-0.414,-0.882,119.325673,26.10112,1375.0,16.0,0.44,0.08,0.1466,16.0,4.54
253527,2017-12-21 12:07:42,38.1,0.0,-0.396,-0.882,119.325683,26.101026,1525.0,25.0,0.6,0.09,0.1465,30.0,6.22
253528,2017-12-21 12:07:43,38.2,0.0,-0.396,-0.882,119.325694,26.10093,1562.0,27.0,0.65,0.09,0.1464,32.0,6.83
253529,2017-12-21 12:07:44,38.8,0.0,-0.396,-0.9,119.325703,26.100831,1362.0,31.0,0.67,0.095,0.1463,37.0,6.84
253530,2017-12-21 12:07:45,39.5,0.162,-0.396,-0.954,119.325711,26.100729,1387.0,32.0,0.65,0.095,0.1467,38.0,6.77
253531,2017-12-21 12:07:46,40.3,0.0,-0.378,-0.9,119.325721,26.100625,1350.0,21.0,0.27,0.005,0.1465,33.0,2.85
253532,2017-12-21 12:07:47,40.4,0.0,-0.378,-0.882,119.325726,26.100511,1137.0,25.0,0.57,0.09,0.1468,27.0,5.87
253533,2017-12-21 12:07:48,40.8,-0.054,-0.378,-0.882,119.325733,26.1004,1375.0,32.0,0.65,0.095,0.1465,38.0,6.72
253534,2017-12-21 12:07:49,41.2,0.0,-0.342,-0.954,119.325741,26.100291,1387.0,31.0,0.64,0.095,0.1464,37.0,6.63
253535,2017-12-21 12:07:50,42.0,0.0,-0.378,-0.936,119.325746,26.100178,1287.0,18.0,0.27,0.0,0.1463,25.0,2.9
253536,2017-12-21 12:07:51,41.666666666666664,0.0,-0.384,-0.93,119.32575166666666,26.100068333333333,1224.6666666666667,17.0,0.26666666666666666,,,,
253537,2017-12-21 12:07:52,41.333333333333336,0.0,-0.39,-0.924,119.32575733333333,26.099958666666666,1162.3333333333333,16.0,0.26333333333333336,,,,
253538,2017-12-21 12:07:53,41.0,0.0,-0.396,-0.918,119.325763,26.099849,1100.0,15.0,0.26,0.0,0.1463,19.0,2.81
253539,2017-12-21 12:07:54,41.0,0.0,-0.396,-0.918,119.325766,26.099745,1012.0,15.0,0.24,0.0,0.1463,18.0,2.61
253540,2017-12-21 12:07:55,41.1,0.0,-0.378,-0.9,119.325773,26.099638,987.0,14.0,0.24,0.0,0.1462,18.0,2.56
253541,2017-12-21 12:07:56,40.45,0.0,-0.369,-0.9135,119.32578125,26.099539999999998,1077.75,18.5,0.34750000000000003,,,,
253542,2017-12-21 12:07:57,39.8,0.0,-0.36,-0.927,119.3257895,26.099442,1168.5,23.0,0.455,,,,
253543,2017-12-21 12:07:58,39.15,0.0,-0.35100000000000003,-0.9405,119.32579774999999,26.099344000000002,1259.25,27.5,0.5625,,,,
253544,2017-12-21 12:07:59,38.5,0.0,-0.342,-0.954,119.325806,26.099246,1350.0,32.0,0.67,0.1,0.1476,38.0,6.84
253545,2017-12-21 12:08:00,38.9,0.0,-0.36,-0.936,119.325816,26.09915,1400.0,31.0,0.64,0.095,0.1474,39.0,6.51
253546,2017-12-21 12:08:01,39.0,-0.072,-0.342,-0.972,119.325826,26.099051,1062.0,16.0,0.27,0.0,0.1469,20.0,2.92
253547,2017-12-21 12:08:02,40.1,0.0,-0.414,-0.936,119.325835,26.098951,1200.0,26.0,0.5,0.07,0.1468,31.0,5.18
253548,2017-12-21 12:08:03,37.23571428571429,0.0,-0.414,-0.9334285714285715,119.3258365,26.098900785714285,1168.7142857142858,25.428571428571427,4.951428571428571,,,,
253549,2017-12-21 12:08:04,34.371428571428574,0.0,-0.414,-0.9308571428571429,119.325838,26.09885057142857,1137.4285714285713,24.857142857142858,9.402857142857142,,,,
253550,2017-12-21 12:08:05,31.50714285714286,0.0,-0.414,-0.9282857142857144,119.3258395,26.098800357142856,1106.142857142857,24.285714285714285,13.854285714285712,,,,
253551,2017-12-21 12:08:06,28.642857142857146,0.0,-0.414,-0.9257142857142857,119.325841,26.098750142857142,1074.857142857143,23.714285714285715,18.305714285714284,,,,
253552,2017-12-21 12:08:07,25.778571428571432,0.0,-0.414,-0.9231428571428572,119.3258425,26.098699928571428,1043.5714285714287,23.142857142857142,22.757142857142856,,,,
253553,2017-12-21 12:08:08,22.914285714285715,0.0,-0.414,-0.9205714285714286,119.325844,26.098649714285713,1012.2857142857142,22.571428571428573,27.208571428571425,,,,
253554,2017-12-21 12:08:09,20.05,0.0,-0.414,-0.918,119.3258455,26.0985995,981.0,22.0,31.659999999999997,,,,
253555,2017-12-21 12:08:10,17.185714285714287,0.0,-0.414,-0.9154285714285715,119.325847,26.098549285714288,949.7142857142858,21.42857142857143,36.11142857142857,,,,
253556,2017-12-21 12:08:11,14.321428571428573,0.0,-0.414,-0.9128571428571429,119.3258485,26.098499071428574,918.4285714285714,20.857142857142858,40.56285714285714,,,,
253557,2017-12-21 12:08:12,11.457142857142859,0.0,-0.414,-0.9102857142857144,119.32585,26.09844885714286,887.1428571428571,20.285714285714285,45.01428571428571,,,,
253558,2017-12-21 12:08:13,8.592857142857145,0.0,-0.414,-0.9077142857142857,119.3258515,26.098398642857145,855.8571428571429,19.714285714285715,49.465714285714284,,,,
253559,2017-12-21 12:08:14,5.728571428571428,0.0,-0.414,-0.9051428571428571,119.325853,26.09834842857143,824.5714285714286,19.142857142857142,53.91714285714285,,,,
253560,2017-12-21 12:08:15,2.864285714285714,0.0,-0.414,-0.9025714285714286,119.3258545,26.098298214285716,793.2857142857142,18.571428571428573,58.36857142857142,,,,
