,时间,GPS车速,X轴加速度,Y轴加速度,Z轴加速度,经度,纬度,发动机转速,扭矩百分比,瞬时油耗,油门踏板开度,空燃比,发动机负荷百分比,进气流量
9893,2017-12-01 22:28:52,0.0,0.27,-0.954,0.342,119.381278,25.918834,812.0,21.0,0.26,0.0,0.1465,28.0,2.69
9894,2017-12-01 22:28:53,0.0,0.27,-0.954,0.342,119.381278,25.918834,800.0,19.0,0.24,0.0,0.1463,25.0,2.61
9895,2017-12-01 22:28:54,0.0,0.27,-0.936,0.342,119.381278,25.918834,775.0,19.0,63.84,0.0,0.1455,25.0,2.53
9896,2017-12-01 22:28:55,0.0,0.27,-0.954,0.342,119.381278,25.918834,775.0,19.0,60.04,0.0,0.1471,24.0,2.38
9897,2017-12-01 22:28:56,0.0,0.27,-0.954,0.36,119.381278,25.918834,762.0,19.0,62.57,0.0,0.1471,25.0,2.48
9898,2017-12-01 22:28:57,0.0,0.27,-0.936,0.36,119.381278,25.918834,737.0,18.0,61.55,0.0,0.1471,23.0,2.44
9899,2017-12-01 22:28:58,0.0,0.27,-0.972,0.342,119.381278,25.918834,750.0,18.0,59.29,0.0,0.147,23.0,2.35
9900,2017-12-01 22:28:59,0.0,0.27,-0.954,0.342,119.381278,25.918834,737.0,18.0,58.28,0.0,0.1469,23.0,2.31
9901,2017-12-01 22:29:00,0.0,0.27,-0.954,0.342,119.381278,25.918834,737.0,18.0,56.77,0.0,0.1454,23.0,2.25
9902,2017-12-01 22:29:01,0.0,0.27,-0.954,0.342,119.381278,25.918834,737.0,18.0,59.53,0.0,0.1454,23.0,2.36
9903,2017-12-01 22:29:02,0.0,0.27,-0.936,0.36,119.381278,25.918834,737.0,18.0,56.51,0.0,0.1456,23.0,2.24
9904,2017-12-01 22:29:03,0.0,0.27,-0.954,0.342,119.381278,25.918834,737.0,18.0,61.31,0.0,0.1456,23.0,2.43
9905,2017-12-01 22:29:04,0.0,0.288,-0.954,0.342,119.381278,25.918834,750.0,18.0,55.24,0.0,0.1457,23.0,2.19
9906,2017-12-01 22:29:05,0.0,0.27,-0.954,0.342,119.381278,25.918834,750.0,18.0,60.04,0.0,0.1458,23.0,2.38
9907,2017-12-01 22:29:06,0.0,0.27,-0.954,0.342,119.381278,25.918834,737.0,18.0,55.51,0.0,0.1458,23.0,2.2
9908,2017-12-01 22:29:07,0.0,0.288,-0.954,0.342,119.381278,25.918834,737.0,18.0,58.78,0.0,0.1458,23.0,2.33
9909,2017-12-01 22:29:08,0.0,0.288,-0.954,0.342,119.381278,25.918834,737.0,18.0,56.77,0.0,0.1459,23.0,2.25
