,时间,GPS车速,X轴加速度,Y轴加速度,Z轴加速度,经度,纬度,发动机转速,扭矩百分比,瞬时油耗,油门踏板开度,空燃比,发动机负荷百分比,进气流量
342867,2017-12-05 18:58:26,0.0,0.18,-0.954,0.342,119.259688,26.079626,987.0,23.0,0.36,0.07,0.1467,28.0,3.69
342868,2017-12-05 18:58:27,6.5,0.126,-0.99,0.342,119.259701,26.079629,1587.0,40.0,0.98,0.125,0.1451,49.0,10.15
342869,2017-12-05 18:58:28,14.7,0.18,-1.026,0.306,119.259741,26.079638,1775.0,37.0,1.05,0.125,0.1476,44.0,10.75
342870,2017-12-05 18:58:29,18.3,0.144,-0.972,0.36,119.259791,26.079648,2112.0,36.0,1.19,0.13,0.145,41.0,12.19
342871,2017-12-05 18:58:30,20.8,0.144,-0.972,0.342,119.259848,26.079659,1700.0,43.0,1.16,0.135,0.1476,50.0,11.97
342872,2017-12-05 18:58:31,25.5,0.18,-0.918,0.342,119.25992,26.079668,1812.0,44.0,1.24,0.135,0.1474,52.0,12.83
342873,2017-12-05 18:58:32,27.7,0.198,-0.954,0.36,119.26,26.079674,1887.0,43.0,1.28,0.135,0.1449,52.0,13.03
342874,2017-12-05 18:58:33,30.1,0.18,-0.918,0.324,119.26008,26.079686,1975.0,43.0,1.31,0.135,0.1453,50.0,13.44
342875,2017-12-05 18:58:34,32.4,0.216,-0.918,0.36,119.260166,26.079701,2087.0,41.0,1.36,0.135,0.1475,48.0,13.96
342876,2017-12-05 18:58:35,34.8,0.216,-0.972,0.36,119.260261,26.079718,2162.0,38.0,1.28,0.135,0.145,45.0,13.1
342877,2017-12-05 18:58:36,36.2,0.198,-0.954,0.324,119.260363,26.079736,1775.0,43.0,1.19,0.135,0.1456,52.0,12.26
342878,2017-12-05 18:58:37,38.0,0.198,-0.972,0.342,119.260466,26.079755,1800.0,43.0,1.21,0.135,0.1476,51.0,12.4
342879,2017-12-05 18:58:38,39.5,0.234,-0.936,0.342,119.260575,26.079778,1812.0,43.0,1.21,0.135,0.1471,51.0,12.48
342880,2017-12-05 18:58:39,41.9,0.216,-0.972,0.342,119.260686,26.079803,1825.0,42.0,1.18,0.135,0.145,49.0,12.07
342881,2017-12-05 18:58:40,42.4,0.198,-0.972,0.306,119.260798,26.079828,1837.0,41.0,1.16,0.13,0.1454,49.0,11.96
