,减速时间比,加速度标准差,加速时间比,匀速时间比,平均减速度,平均加速度,平均行驶速度,平均速度,怠速时间比,持续时间,最大速度,行驶距离,速度标准差
0,37.878787878787875,1.5160464023950178,46.96969696969697,6.060606060606064,-0.41888888888888887,0.35663082437276006,8.25327868852459,7.514179104477613,9.090909090909092,67.0,17.4,503.45000000000005,5.086967588996775
0,31.793478260869566,1.2150378556782373,32.608695652173914,9.510869565217401,-0.34051519468186103,0.3391203703703704,35.45879120879121,26.233739837398375,26.08695652173913,369.0,56.5,9680.25,18.399159548457572
0,36.440677966101696,1.5957240264110668,43.22033898305085,0.84745762711864,-0.4563307493540052,0.39379084967320266,25.964583333333326,20.946218487394955,19.491525423728813,119.0,45.2,2492.5999999999995,14.09795423922829
0,29.03225806451613,1.186531735737133,30.414746543778804,7.373271889400918,-0.34231040564373905,0.3367003367003366,40.67568493150684,27.24151376146788,33.17972350230415,218.0,55.0,5938.649999999998,22.49303418113856
0,31.952662721893493,1.6793549255604279,37.8698224852071,10.650887573964493,-0.42468530622125383,0.375,49.58065693430657,39.95617647058823,19.526627218934912,170.0,68.7,6792.549999999999,24.888494803908554
0,31.963470319634702,1.6766992189670682,42.465753424657535,7.762557077625573,-0.5117063492063493,0.38649940262843485,36.75856353591157,30.242272727272702,17.80821917808219,220.0,65.5,6653.299999999995,19.782427596455427
0,43.02788844621514,1.3676778576615696,38.645418326693225,7.968127490039846,-0.3131944444444447,0.35223367697594493,50.07605321507757,44.899204771371735,10.358565737051793,503.0,81.5,22584.299999999985,22.57274103948396
0,31.23123123123123,1.8594872105703413,39.33933933933934,18.01801801801802,-0.5126602564102565,0.41518235793044966,43.89172297297297,38.898053892215565,11.411411411411411,334.0,65.9,12991.949999999999,20.23352482601798
0,31.122448979591837,2.0237428918912044,40.30612244897959,5.6122448979591795,-0.5987509758001563,0.47011251758087225,38.67269736842105,29.83883248730964,22.95918367346939,197.0,60.9,5878.249999999999,20.492510197899172
0,29.126213592233007,1.5111529830549688,31.06796116504854,6.796116504854368,-0.5009259259259257,0.46961805555555536,18.302142857142854,12.318749999999998,33.00970873786408,104.0,32.4,1281.1499999999999,11.558397865285018
