,减速时间比,加速度标准差,加速时间比,匀速时间比,平均减速度,平均加速度,平均行驶速度,平均速度,怠速时间比,持续时间,最大速度,行驶距离,速度标准差
0,11.450381679389313,0.7228976062010048,16.030534351145036,1.5267175572519136,-0.312037037037037,0.2605820105820107,7.9410256410256395,2.3462121212121207,70.99236641221374,132.0,11.8,309.69999999999993,3.829844751465059
0,49.18918918918919,1.0739317728931632,35.13513513513514,8.108108108108109,-0.20390720390720396,0.28504273504273503,25.2558139534884,23.354838709677445,7.567567567567568,186.0,36.7,4344.000000000005,10.355056502935152
0,1.6129032258064515,0.14154831034252807,1.6129032258064515,38.70967741935484,-0.17592592592592593,0.19444444444444445,0.17138608372150863,0.0724037465989261,58.06451612903226,187.0,2.1,13.53950061399918,0.35296930016246386
0,34.375,1.970461911605826,59.375,4.6875,-0.2398989898989899,0.5080409356725145,30.440624999999994,29.972307692307687,1.5625,65.0,54.0,1948.1999999999996,15.687689166281086
0,31.03448275862069,3.0756773211237842,38.91625615763547,20.689655172413786,-0.35383597883597884,0.28322784810126594,17.687432432432427,16.04007352941176,9.35960591133005,204.0,41.7,3272.1749999999993,14.270785479392607
0,55.78947368421052,2.21134719743842,37.89473684210527,5.263157894736844,-0.43006056370836254,0.6450617283950619,21.038421052631577,20.81927083333333,1.0526315789473684,96.0,35.3,1998.6499999999999,9.47232187593952
0,35.025380710659896,1.4466347261559644,47.20812182741117,17.258883248730967,-0.40780998389694056,0.30376344086021495,23.80177664974619,23.681565656565656,0.5076142131979695,198.0,46.9,4688.95,14.881004176869373
0,49.2063492063492,2.2559340857266554,46.03174603174603,3.1746031746031793,-0.48207885304659487,0.5383141762452106,17.34285714285714,17.071875,1.5873015873015872,64.0,29.2,1092.6,7.193829142701055
0,44.70588235294118,1.4654590454761744,38.82352941176471,15.294117647058815,-0.2878028404344194,0.35016835016835024,22.632941176470588,22.369767441860464,1.1764705882352942,86.0,30.8,1923.8,6.758359279908584
0,53.58649789029536,1.3282295917272053,36.708860759493675,9.282700421940921,-0.24945319335083158,0.37100893997445716,17.131223628691977,17.059243697478987,0.42194092827004215,238.0,28.9,4060.0999999999985,6.0743539459742415
0,51.06382978723404,1.9980812609263958,45.744680851063826,2.1276595744680895,-0.44643373842592626,0.5103359173126616,22.504255319148932,22.267368421052627,1.0638297872340425,95.0,35.7,2115.3999999999996,8.856480853606453
0,54.65116279069767,1.456090915854669,39.53488372093023,4.651162790697681,-0.26979905437352236,0.3790849673202616,14.983720930232563,14.811494252873567,1.1627906976744187,87.0,28.2,1288.6000000000004,6.193323276989086
0,47.706422018348626,1.321954445075734,43.11926605504588,8.256880733944946,-0.2796474358974359,0.31855791962174945,16.667889908256882,16.516363636363636,0.9174311926605505,110.0,27.3,1816.8,5.9504212095036015
0,51.61290322580645,1.7081047773134286,38.70967741935484,8.06451612903226,-0.3050347222222222,0.44675925925925936,15.407258064516132,15.162698412698415,1.6129032258064515,63.0,23.5,955.2500000000001,5.876392393283378
0,50.0,2.5769739827263067,37.096774193548384,11.290322580645164,-0.4865591397849462,0.6582125603864735,16.84435483870968,16.57698412698413,1.6129032258064515,63.0,29.0,1044.3500000000001,8.318080447620193
0,39.130434782608695,1.4622878330835858,42.028985507246375,17.39130434782609,-0.34053497942386834,0.314176245210728,20.165217391304353,19.87714285714286,1.4492753623188406,70.0,30.0,1391.4000000000003,9.082351387041085
0,50.0,1.6898901382643663,42.22222222222222,7.222222222222223,-0.32754629629629617,0.39290935672514626,19.29916666666667,19.192541436464094,0.5555555555555556,181.0,47.6,3473.850000000001,13.980527941175039
0,51.78571428571429,2.1005401495967715,48.214285714285715,-1.7857142857142927,-0.4581736909323116,0.51440329218107,31.249999999999996,30.701754385964907,1.7857142857142856,57.0,49.9,1749.9999999999998,15.090944990417476
0,48.23529411764706,1.3827274285777793,40.0,11.176470588235295,-0.2653833891280089,0.3280228758169934,25.573235294117634,25.423684210526304,0.5882352941176471,171.0,39.3,4347.449999999998,10.116427561633358
0,46.68587896253602,1.1331315551139372,41.4985590778098,11.527377521613829,-0.2302307754377471,0.263503086419753,42.21224783861671,42.09094827586207,0.2881844380403458,348.0,62.8,14647.65,11.388569940717717
0,53.84615384615385,1.755774059225628,37.17948717948718,7.692307692307689,-0.31192129629629634,0.4741379310344828,29.73461538461539,29.358227848101272,1.282051282051282,79.0,44.1,2319.3000000000006,12.571196465015147
0,50.693069306930695,1.4504980142425685,38.21782178217822,10.891089108910887,-0.2429470486111113,0.32253886010362687,42.73861386138618,42.654150197628496,0.19801980198019803,506.0,72.5,21583.00000000002,17.49961980839203
0,51.31578947368421,1.7503402207585883,40.78947368421053,6.5789473684210495,-0.358974358974359,0.4578853046594982,31.77171052631578,31.3590909090909,1.3157894736842104,77.0,47.3,2414.649999999999,13.86357272864741
0,40.50632911392405,2.274223099961363,49.36708860759494,8.860759493670884,-0.43987268518518513,0.3831908831908833,31.650632911392407,31.255000000000003,1.2658227848101267,80.0,48.5,2500.4,13.081563548028619
0,44.418052256532064,1.6443072418600155,44.180522565320665,11.16389548693587,-0.37651920272241135,0.38306451612903225,30.005819477434645,29.934715639810396,0.23752969121140144,422.0,56.5,12632.449999999986,13.273380898971284
0,35.54216867469879,1.4208009897607434,42.77108433734939,21.084337349397597,-0.35593220338983056,0.297339593114241,34.69879518072292,34.49101796407189,0.6024096385542169,167.0,51.5,5760.000000000005,15.615387653703923
